group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-5_lambda_1e-3_No_scheduler_epochs_100,1e-05,0.001,False,None,N/A,0.6898159560577324,0.03648120112585943,3,"[0.7102784602784603, 0.7206003289473685, 0.6385690789473684]",0.6615658682841087,0.05626016821012077,3,"[0.619870820668693, 0.7410985865092145, 0.6237281976744187]"
fusion_lstm_lr_1e-5_lambda_1e-2_No_scheduler_epochs_100,1e-05,0.01,False,None,N/A,0.6688733440378177,0.03236225372978034,3,"[0.69000819000819, 0.6934621710526315, 0.6231496710526315]",0.6591544403130527,0.056427284163271335,3,"[0.619870820668693, 0.7389515118983718, 0.618640988372093]"
fusion_lstm_lr_1e-5_lambda_1e-1_No_scheduler_epochs_100,1e-05,0.1,False,None,N/A,0.5867430865374944,0.023832231673382342,3,"[0.5622440622440623, 0.5789473684210527, 0.6190378289473684]",0.5187216403081188,0.12072274834276775,3,"[0.3966565349544073, 0.6831275720164609, 0.4763808139534884]"
fusion_lstm_lr_1e-5_lambda_1e+00_No_scheduler_epochs_100,1e-05,1.0,False,None,N/A,0.5145878346947427,0.0626754698299127,3,"[0.5567158067158068, 0.4259868421052632, 0.5610608552631579]",0.4232848738177461,0.08100782640610957,3,"[0.31041033434650456, 0.4966899266416175, 0.46275436046511625]"
fusion_lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.700671926412058,0.03773158166119624,3,"[0.7397624897624897, 0.7125822368421053, 0.649671052631579]",0.6666397280823673,0.035726265541188976,3,"[0.6396276595744681, 0.7171229200214708, 0.6431686046511629]"
fusion_lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.7046318335380836,0.03760091155570168,3,"[0.7506142506142506, 0.7047697368421053, 0.6585115131578947]",0.7000717674742779,0.05398839823443264,3,"[0.6648936170212766, 0.7763463947038827, 0.6589752906976745]"
fusion_lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.7139677805796228,0.05796213283701414,3,"[0.7891072891072892, 0.7047697368421052, 0.6480263157894737]",0.6645631534185972,0.0765500686625702,3,"[0.6582446808510638, 0.7613168724279835, 0.5741279069767442]"
fusion_lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.6398091984029485,0.03783349449785485,3,"[0.5952088452088453, 0.6365131578947368, 0.687705592105263]",0.6612104346464595,0.05231497134031068,3,"[0.6306990881458968, 0.7348362855609234, 0.6180959302325582]"
fusion_lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7124052693542825,0.015580654586979685,3,"[0.7291154791154791, 0.7164884868421053, 0.6916118421052632]",0.7351658809058531,0.035211885847716055,3,"[0.6928191489361702, 0.779030237967436, 0.7336482558139534]"
fusion_lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7160593420873026,0.036926923941750615,3,"[0.7631040131040132, 0.7121710526315789, 0.6729029605263158]",0.7023585640311235,0.05689558306621676,3,"[0.648936170212766, 0.7811773125782788, 0.6769622093023258]"
fusion_lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7379501585916058,0.03824393410012009,3,"[0.7915642915642915, 0.717310855263158, 0.7049753289473684]",0.6830801865253678,0.050844133125769124,3,"[0.7177051671732523, 0.7203435319377348, 0.6111918604651162]"
fusion_lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.6899763100420996,0.004951754810176108,3,"[0.6932841932841934, 0.6829769736842105, 0.6936677631578947]",0.6723024597711871,0.051562278012063464,3,"[0.6548252279635258, 0.7423510466988728, 0.6197311046511628]"
fusion_lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7158113181961866,0.022222751762708697,3,"[0.7440622440622441, 0.713610197368421, 0.6897615131578947]",0.7422267797539838,0.06930385765006554,3,"[0.7344224924012157, 0.8307389515118984, 0.6615188953488372]"
fusion_lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7241723444437261,0.023190990584785732,3,"[0.7438574938574938, 0.7370476973684211, 0.6916118421052632]",0.7415771993158372,0.02136077082554449,3,"[0.7311930091185411, 0.7713365539452497, 0.7222020348837209]"
fusion_lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7410713644266277,0.0196458819283486,3,"[0.7643325143325144, 0.7425986842105263, 0.716282894736842]",0.7025808746068222,0.035259693332449514,3,"[0.6603343465045592, 0.7466451959205583, 0.7007630813953488]"
fusion_lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.689795133051712,0.02497569784102205,3,"[0.6754709254709255, 0.6689967105263158, 0.7249177631578947]",0.6629787548857623,0.04663289030298843,3,"[0.6052431610942249, 0.7194489175165504, 0.6642441860465116]"
