group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-5_lambda_1e-3_No_scheduler_epochs_100,1e-05,0.001,False,None,N/A,0.6933719754443438,0.038198032997094344,3,"[0.7158067158067158, 0.7247121710526315, 0.6395970394736842]",0.6667120125326308,0.04740035205691707,3,"[0.6419072948328267, 0.7330470567185542, 0.6251816860465115]"
fusion_lstm_lr_1e-5_lambda_1e-2_No_scheduler_epochs_100,1e-05,0.01,False,None,N/A,0.6675100264738423,0.033188913033292834,3,"[0.6846846846846848, 0.696751644736842, 0.62109375]",0.6196098286536406,0.10540349049471769,3,"[0.6333586626139819, 0.7412775093934515, 0.4841933139534884]"
fusion_lstm_lr_1e-5_lambda_1e-1_No_scheduler_epochs_100,1e-05,0.1,False,None,N/A,0.5883875427460953,0.024863553440618847,3,"[0.5624488124488124, 0.580797697368421, 0.6219161184210527]",0.5144679390788806,0.12552249969171475,3,"[0.38335866261398177, 0.6836643406691716, 0.4763808139534883]"
fusion_lstm_lr_1e-5_lambda_1e+00_No_scheduler_epochs_100,1e-05,1.0,False,None,N/A,0.5147953912345359,0.0643776238750613,3,"[0.5552825552825553, 0.4239309210526316, 0.5651726973684209]",0.42299495059287856,0.08034177535684586,3,"[0.3111702127659574, 0.4963320808731436, 0.46148255813953487]"
fusion_lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.6949897714700346,0.03724549061162547,3,"[0.7354627354627354, 0.7039473684210527, 0.6455592105263158]",0.6368520483635921,0.01378214417472972,3,"[0.6510258358662614, 0.6181785650384685, 0.6413517441860466]"
fusion_lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.6715380152880153,0.0920217575223678,3,"[0.7958640458640458, 0.5760690789473685, 0.6426809210526315]",0.6455241725277444,0.008351207411465333,2,"[0.6538753799392097, 0.6371729651162791]"
fusion_lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.7191056187766715,0.05469704631176608,3,"[0.7905405405405406, 0.7090871710526315, 0.6576891447368421]",0.6408916095722083,0.07664300866144919,3,"[0.644566869300912, 0.7328681338343174, 0.5452398255813953]"
fusion_lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.651960797520008,0.02635791352047285,3,"[0.6294021294021295, 0.6375411184210527, 0.688939144736842]",0.6695580485636573,0.04941937337452906,3,"[0.6553951367781156, 0.7359098228663447, 0.6173691860465116]"
fusion_lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.6998242448489159,0.01662650836585301,3,"[0.7082309582309583, 0.7146381578947368, 0.6766036184210525]",0.7010644980183177,0.06479378560886168,3,"[0.7047872340425532, 0.7784934693147254, 0.6199127906976746]"
fusion_lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7226860532781586,0.047977898378817836,3,"[0.7782555282555282, 0.7286184210526315, 0.6611842105263158]",0.6867029960688292,0.03741220251047546,3,"[0.6426671732522796, 0.7341205940239756, 0.6833212209302326]"
fusion_lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7284213040791988,0.0497298736150363,3,"[0.7938165438165438, 0.7181332236842105, 0.6733141447368421]",0.6894623677440497,0.03854767730181617,3,"[0.7049772036474165, 0.7269636786545, 0.6364462209302326]"
fusion_lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.7150254321306951,0.005318584300661614,3,"[0.7174447174447174, 0.7076480263157894, 0.7199835526315789]",0.6922655274802484,0.07299211730926222,3,"[0.7026975683890577, 0.7759885489354088, 0.598110465116279]"
fusion_lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7340486793611793,0.04433802520254124,3,"[0.788083538083538, 0.734580592105263, 0.6794819078947368]",0.7107720775982659,0.052283360960907695,3,"[0.6907294832826748, 0.7824297727679369, 0.6591569767441859]"
fusion_lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7351150866775867,0.03368114950669827,3,"[0.76003276003276, 0.7578125, 0.6874999999999999]",0.7271453695755336,0.040319997760566884,3,"[0.7203647416413375, 0.7795670066201468, 0.6815043604651163]"
fusion_lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7492734398573214,0.031021915606487323,3,"[0.7800982800982802, 0.7608963815789473, 0.7068256578947368]",0.7195952879481595,0.05831487114413491,3,"[0.6667933130699089, 0.8008588298443371, 0.6911337209302325]"
fusion_lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.6857403156745262,0.034270157134061896,3,"[0.6838656838656839, 0.6447368421052632, 0.7286184210526315]",0.6734416708517469,0.02442743966440785,3,"[0.6498860182370821, 0.7071032385042048, 0.6633357558139535]"
