group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.7101112027098869,0.0482483619339075,3,"[0.7528665028665028, 0.7347861842105262, 0.6426809210526315]",0.7031647691164616,0.08035318802846954,3,"[0.7102963525835867, 0.7978171408123099, 0.6013808139534884]"
fusion_lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.710923468324784,0.05852478771173865,3,"[0.7602375102375102, 0.7438322368421053, 0.6287006578947368]",0.683965801788621,0.05915439697427471,3,"[0.6369680851063829, 0.7674002504920379, 0.6475290697674418]"
fusion_lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.7372053011444458,0.04688101294291867,3,"[0.7850122850122849, 0.7530838815789473, 0.6735197368421052]",0.6517069306156102,0.041788151214256664,3,"[0.5976443768996961, 0.6994095544820182, 0.6580668604651163]"
fusion_lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.5846447898257109,0.027034120370097742,3,"[0.5931613431613432, 0.548108552631579, 0.6126644736842105]",0.6408573458988981,0.014504244739284767,3,"[0.65919452887538, 0.6396493111468957, 0.6237281976744187]"
fusion_lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7262687328476803,0.04887077138954114,3,"[0.7643325143325144, 0.7571957236842106, 0.6572779605263158]",0.7315351885358526,0.08373549003819876,3,"[0.7735562310030395, 0.8064054392556809, 0.6146438953488372]"
fusion_lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7233059165624954,0.06090616296244384,3,"[0.776003276003276, 0.7559621710526315, 0.637952302631579]",0.6671070985617034,0.11861798391276446,3,"[0.7317629179331306, 0.768831633565933, 0.5007267441860465]"
fusion_lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7324954851681826,0.04540144324834215,3,"[0.7712940212940215, 0.7574013157894737, 0.6687911184210527]",0.6886343691652367,0.06577247865734925,3,"[0.658434650455927, 0.7799248523886205, 0.6275436046511628]"
fusion_lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.7364907521157521,0.016990971559121437,3,"[0.7563472563472564, 0.73828125, 0.71484375]",0.701697835429597,0.06007467083532807,3,"[0.7382218844984803, 0.7498658078368223, 0.6170058139534884]"
fusion_lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7232508562689484,0.05268012294970981,3,"[0.7661752661752661, 0.7545230263157894, 0.6490542763157895]",0.6636243543874886,0.125752604306105,3,"[0.6776215805471125, 0.8101628198246557, 0.5030886627906976]"
fusion_lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7347631722631722,0.0457778894141364,3,"[0.7667895167895168, 0.7674753289473685, 0.6700246710526315]",0.6995929092947611,0.12457781567035055,3,"[0.7802051671732523, 0.7949543746645196, 0.5236191860465116]"
fusion_lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7282134107792003,0.026042696557956026,3,"[0.7454954954954955, 0.7477384868421053, 0.6914062500000001]",0.7359085997895095,0.061952417873360324,3,"[0.7686170212765957, 0.7899445339058865, 0.6491642441860465]"
fusion_lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.6972304616219089,0.03952259446390246,3,"[0.7006552006552007, 0.647203947368421, 0.7438322368421052]",0.6964429426060846,0.05394500306789896,3,"[0.7213145896656535, 0.7464662730363213, 0.6215479651162791]"
