group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.6991013329417933,0.04151647003134433,3,"[0.7356674856674855, 0.7206003289473684, 0.6410361842105263]",0.6970568680572078,0.047601888721191726,3,"[0.7197948328267476, 0.7405618178565038, 0.6308139534883721]"
fusion_lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.6879050102734313,0.05933218930625407,3,"[0.7545045045045045, 0.6988075657894736, 0.6104029605263157]",0.6290183311176549,0.0862231957713657,3,"[0.6354483282674772, 0.7312578278761853, 0.5203488372093023]"
fusion_lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.6985502809927152,0.04909566977806505,3,"[0.7377149877149878, 0.7286184210526316, 0.6293174342105262]",0.6621097573947172,0.07219461770418259,3,"[0.6426671732522796, 0.7586330291644302, 0.585029069767442]"
fusion_lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.6820247842040604,0.011785111671505588,3,"[0.6947174447174447, 0.6663240131578947, 0.685032894736842]",0.6783796150798405,0.04336176057106726,3,"[0.716565349544073, 0.7008409375559135, 0.6177325581395349]"
fusion_lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7205935937432648,0.03314673148190026,3,"[0.754914004914005, 0.7310855263157895, 0.67578125]",0.7329077578678799,0.038806999718600924,3,"[0.7190349544072948, 0.785829307568438, 0.6938590116279069]"
fusion_lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7109043291197897,0.03220634558172631,3,"[0.7242014742014743, 0.7419819078947368, 0.6665296052631579]",0.7461261376904932,0.034906612358446644,3,"[0.7631079027355623, 0.7777777777777778, 0.6974927325581395]"
fusion_lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7198535631923789,0.0691046351465471,3,"[0.7948402948402948, 0.7366365131578947, 0.6280838815789472]",0.6662952360666993,0.09160962066833643,3,"[0.6413373860182371, 0.7888709966004652, 0.5686773255813953]"
fusion_lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.7521447134933977,0.024196403256997394,3,"[0.7852170352170352, 0.728001644736842, 0.7432154605263158]",0.6652994259446272,0.04949590089238239,3,"[0.67040273556231, 0.7232062980855252, 0.6022892441860465]"
fusion_lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7365334645351093,0.03110700142807696,3,"[0.7751842751842751, 0.7354029605263158, 0.6990131578947368]",0.7496393072472362,0.01988672981047951,3,"[0.7528495440729484, 0.7722311683664341, 0.7238372093023256]"
fusion_lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7374367115321063,0.03222651895070572,3,"[0.7661752661752662, 0.7537006578947368, 0.6924342105263158]",0.7407807849712674,0.05647902824640319,3,"[0.7640577507598785, 0.7953122204329934, 0.6629723837209303]"
fusion_lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7197905890340102,0.031277854057917547,3,"[0.7407862407862409, 0.7430098684210527, 0.6755756578947368]",0.6842918789473535,0.04483435904573625,3,"[0.6565349544072949, 0.7475398103417427, 0.6488008720930233]"
fusion_lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.7215968585212007,0.043426325152682764,3,"[0.7729320229320229, 0.6667351973684211, 0.7251233552631577]",0.6216146579299867,0.04636775192789555,3,"[0.6054331306990881, 0.684737877974593, 0.5746729651162791]"
