group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-4_lambda_1e-4_No_scheduler,0.0001,0.0001,False,None,N/A,0.6987673790716554,0.025661837332521743,3,"[0.7293202293202293, 0.700452302631579, 0.6665296052631579]",0.6789760733733107,0.08756983694934933,3,"[0.6723024316109423, 0.7894077652531759, 0.575218023255814]"
lstm_lr_1e-4_lambda_1e-4__scheduler_CosineAnnealingLR_1e-5,0.0001,0.0001,True,CosineAnnealingLR,1e-05,0.700344146479015,0.02615730626677432,3,"[0.7289107289107289, 0.7064144736842106, 0.6657072368421053]",0.669136235794373,0.07527626007670832,3,"[0.6723024316109423, 0.7597065664698515, 0.5753997093023255]"
lstm_lr_1e-4_lambda_1e-3_No_scheduler,0.0001,0.001,False,None,N/A,0.7233115292325819,0.03677310387633292,3,"[0.7719082719082718, 0.715049342105263, 0.6829769736842105]",0.7010147752927708,0.03949343621186613,3,"[0.7232142857142857, 0.7342995169082125, 0.645530523255814]"
lstm_lr_1e-4_lambda_1e-3__scheduler_CosineAnnealingLR_1e-5,0.0001,0.001,True,CosineAnnealingLR,1e-05,0.699665855299079,0.02011612614801662,3,"[0.7237919737919738, 0.700657894736842, 0.674547697368421]",0.7038813155391592,0.05754694466709881,3,"[0.7156155015197568, 0.7677580962605117, 0.6282703488372092]"
lstm_lr_1e-4_lambda_1e-2_No_scheduler,0.0001,0.01,False,None,N/A,0.7173366735455552,0.016139778094755853,3,"[0.7311629811629812, 0.6946957236842106, 0.7261513157894737]",0.6831478624115777,0.05277296960169416,3,"[0.699468085106383, 0.7380568974771874, 0.6119186046511629]"
lstm_lr_1e-4_lambda_1e-2__scheduler_CosineAnnealingLR_1e-5,0.0001,0.01,True,CosineAnnealingLR,1e-05,0.7184447268740032,0.03847164325891514,3,"[0.7727272727272728, 0.6944901315789473, 0.6881167763157894]",0.6591979860312455,0.09309522948030723,3,"[0.680661094224924, 0.7609590266595098, 0.5359738372093024]"
lstm_lr_1e-3_lambda_1e-4_No_scheduler,0.001,0.0001,False,None,N/A,0.7235154375368191,0.042465786972637004,3,"[0.7731367731367732, 0.728001644736842, 0.669407894736842]",0.6936875400103394,0.03848913732047879,3,"[0.7159954407294833, 0.7255322955806047, 0.6395348837209301]"
lstm_lr_1e-3_lambda_1e-4__scheduler_CosineAnnealingLR_1e-4,0.001,0.0001,True,CosineAnnealingLR,0.0001,0.7218715425952268,0.04211587934588845,3,"[0.7725225225225225, 0.7236842105263158, 0.6694078947368421]",0.6786429245677713,0.023354109724140978,3,"[0.7064969604863222, 0.6800858829844336, 0.6493459302325582]"
lstm_lr_1e-3_lambda_1e-3_No_scheduler,0.001,0.001,False,None,N/A,0.7387565309029126,0.05401142126916423,3,"[0.8032350532350533, 0.7419819078947368, 0.6710526315789473]",0.7086994750111434,0.029656246396695833,3,"[0.7025075987841946, 0.7477187332259796, 0.6758720930232558]"
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7287254546711783,0.03590285590315231,3,"[0.7719082719082718, 0.7302631578947368, 0.6840049342105263]",0.6981780792080429,0.03788161897074999,3,"[0.6983282674772037, 0.7444981213097155, 0.6517078488372093]"
lstm_lr_1e-3_lambda_1e-2_No_scheduler,0.001,0.01,False,None,N/A,0.7149959656127418,0.0283568456246737,3,"[0.7389434889434888, 0.7308799342105262, 0.6751644736842105]",0.6633917558697854,0.05950768609930219,3,"[0.6572948328267477, 0.7391304347826086, 0.59375]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7218967996106155,0.037033792593648335,3,"[0.7540950040950041, 0.7415707236842105, 0.6700246710526316]",0.6935374714304533,0.044144711141116864,3,"[0.7099164133738601, 0.7375201288244766, 0.6331758720930234]"
lstm_lr_1e-2_lambda_1e-4_No_scheduler,0.01,0.0001,False,None,N/A,0.7389427031696768,0.025470257802602793,3,"[0.7674037674037674, 0.7438322368421051, 0.7055921052631579]",0.6314458750815848,0.05326933330066566,3,"[0.6039133738601824, 0.7059402397566649, 0.584484011627907]"
lstm_lr_1e-2_lambda_1e-4__scheduler_CosineAnnealingLR_1e-3,0.01,0.0001,True,CosineAnnealingLR,0.001,0.7377143703212782,0.044548861806687115,3,"[0.7885954135954136, 0.7444490131578947, 0.6800986842105263]",0.6372386957388825,0.006926673788304925,3,"[0.6291793313069909, 0.6460905349794238, 0.6364462209302325]"
lstm_lr_1e-2_lambda_1e-3_No_scheduler,0.01,0.001,False,None,N/A,0.7218847323699298,0.029205101845490265,3,"[0.762899262899263, 0.6971628289473685, 0.7055921052631579]",0.6260574106412969,0.07697844225158366,3,"[0.5575607902735562, 0.7335838253712649, 0.5870276162790697]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3,0.01,0.001,True,CosineAnnealingLR,0.001,0.7302620914874204,0.05006035136970098,3,"[0.8007780507780508, 0.7004523026315788, 0.6895559210526316]",0.6112278683609396,0.08010390529358588,3,"[0.5281155015197568, 0.7194489175165504, 0.5861191860465116]"
