group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-4_lambda_1e-4__scheduler_CosineAnnealingLR_1e-5,0.0001,0.0001,True,CosineAnnealingLR,1e-05,0.7090894161206661,0.03665204561542037,3,"[0.7483619983619985, 0.7187500000000001, 0.66015625]",0.5201808883230944,0.07259783662311307,3,"[0.5575607902735562, 0.41867954911433175, 0.5843023255813953]"
lstm_lr_1e-4_lambda_1e-4_No_scheduler,0.0001,0.0001,False,None,N/A,0.7299604104702788,0.030177546550954608,3,"[0.7708845208845209, 0.719983552631579, 0.6990131578947367]",0.5159364638031135,0.047746835083155165,3,"[0.5389437689969605, 0.4494542852030775, 0.5594113372093024]"
lstm_lr_1e-4_lambda_1e-3__scheduler_CosineAnnealingLR_1e-5,0.0001,0.001,True,CosineAnnealingLR,1e-05,0.7160000722911907,0.04125232280060017,3,"[0.7563472563472564, 0.7323190789473684, 0.6593338815789473]",0.5260464949135666,0.06365841115430311,3,"[0.551481762917933, 0.43853998926462695, 0.5881177325581396]"
lstm_lr_1e-4_lambda_1e-3_No_scheduler,0.0001,0.001,False,None,N/A,0.7306069339375262,0.020082054067652427,3,"[0.7491809991809992, 0.7399259868421052, 0.7027138157894738]",0.48316758622256745,0.051348221365979316,3,"[0.5165273556231004, 0.41062801932367154, 0.5223473837209303]"
lstm_lr_1e-4_lambda_1e-2__scheduler_CosineAnnealingLR_1e-5,0.0001,0.01,True,CosineAnnealingLR,1e-05,0.7134579817556791,0.047361544024458795,3,"[0.7610565110565112, 0.7304687499999999, 0.6488486842105263]",0.49411612416246703,0.051491234614442834,3,"[0.5643996960486323, 0.4424762927178386, 0.4754723837209302]"
lstm_lr_1e-4_lambda_1e-2_No_scheduler,0.0001,0.01,False,None,N/A,0.7188808874664137,0.04894581137895254,3,"[0.7545045045045045, 0.7524671052631579, 0.6496710526315789]",0.4740402746067564,0.059155291146321086,3,"[0.5322948328267477, 0.392914653784219, 0.4969113372093023]"
lstm_lr_1e-3_lambda_1e-4__scheduler_CosineAnnealingLR_1e-4,0.001,0.0001,True,CosineAnnealingLR,0.0001,0.7042015662492637,0.04445893959034739,3,"[0.7645372645372647, 0.6893503289473684, 0.6587171052631579]",0.5231806740873289,0.02793512968164715,3,"[0.5180471124620061, 0.559670781893004, 0.4918241279069768]"
lstm_lr_1e-3_lambda_1e-4_No_scheduler,0.001,0.0001,False,None,N/A,0.7088310649165912,0.060998888408172774,3,"[0.7868550368550369, 0.701685855263158, 0.637952302631579]",0.5453628462954702,0.06416255840045697,3,"[0.4874620060790274, 0.6348183932724996, 0.5138081395348837]"
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7258522166005719,0.038548813346483565,3,"[0.7682227682227682, 0.734375, 0.6749588815789473]",0.47060383045323606,0.053480215436147095,3,"[0.5387537993920973, 0.40812309894435506, 0.4649345930232558]"
lstm_lr_1e-3_lambda_1e-3_No_scheduler,0.001,0.001,False,None,N/A,0.7123381979467505,0.047617125891062,3,"[0.7780507780507782, 0.6922286184210525, 0.666735197368421]",0.49799014696890165,0.039308838485935776,3,"[0.5535714285714285, 0.4711039541957417, 0.46929505813953487]"
