group,lr,lambda_reg,scheduler,eta_min,avg_val_seen,std_val_seen,n_seeds_seen,avg_val_unseen,std_val_unseen,n_seeds_unseen
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3,0.01,0.01,CosineAnnealingLR,0.001,0.6702250995014153,0.04484548684152056,3,0.5678246185120625,0.06939402399508576,3
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3,0.01,0.001,CosineAnnealingLR,0.001,0.7011311550785235,0.04019515309095745,3,0.5433313265249352,0.05461537930380056,3
lstm_lr_1e-2_lambda_1e-4__scheduler_CosineAnnealingLR_1e-3,0.01,0.0001,CosineAnnealingLR,0.001,0.6638312579924422,0.018867721090280506,3,0.576999246354645,0.08683317850824711,3
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4,0.001,0.01,CosineAnnealingLR,0.0001,0.7281561615443195,0.05622096249358772,3,0.5469425892646379,0.044990477683338075,3
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4,0.001,0.001,CosineAnnealingLR,0.0001,0.7258522166005719,0.038548813346483565,3,0.47060383045323606,0.053480215436147095,3
lstm_lr_1e-3_lambda_1e-4__scheduler_CosineAnnealingLR_1e-4,0.001,0.0001,CosineAnnealingLR,0.0001,0.7042015662492637,0.04445893959034739,3,0.5231806740873289,0.02793512968164715,3
lstm_lr_1e-4_lambda_1e-2__scheduler_CosineAnnealingLR_1e-5,0.0001,0.01,CosineAnnealingLR,1e-05,0.7134579817556791,0.047361544024458795,3,0.49411612416246703,0.051491234614442834,3
lstm_lr_1e-4_lambda_1e-3__scheduler_CosineAnnealingLR_1e-5,0.0001,0.001,CosineAnnealingLR,1e-05,0.7160000722911907,0.04125232280060017,3,0.5260464949135666,0.06365841115430311,3
lstm_lr_1e-4_lambda_1e-4__scheduler_CosineAnnealingLR_1e-5,0.0001,0.0001,CosineAnnealingLR,1e-05,0.7090894161206661,0.03665204561542037,3,0.5201808883230944,0.07259783662311307,3
lstm_lr_1e-2_lambda_1e-2_No_scheduler,0.01,0.01,None,N/A,0.6502562296147821,0.04060047127469617,3,0.5269105847161788,0.041469746669813505,3
lstm_lr_1e-2_lambda_1e-3_No_scheduler,0.01,0.001,None,N/A,0.6466912299560326,0.048933000853656226,3,0.5439606132249651,0.08428290778014497,3
lstm_lr_1e-2_lambda_1e-4_No_scheduler,0.01,0.0001,None,N/A,0.6896705879024959,0.011058289205269125,3,0.5372478492907086,0.0743741326871104,3
lstm_lr_1e-3_lambda_1e-2_No_scheduler,0.001,0.01,None,N/A,0.7076547615198931,0.049049091776814206,3,0.5514829265782982,0.08333956617384138,3
lstm_lr_1e-3_lambda_1e-3_No_scheduler,0.001,0.001,None,N/A,0.7123381979467505,0.047617125891062,3,0.49799014696890165,0.039308838485935776,3
lstm_lr_1e-3_lambda_1e-4_No_scheduler,0.001,0.0001,None,N/A,0.7088310649165912,0.060998888408172774,3,0.5453628462954702,0.06416255840045697,3
lstm_lr_1e-4_lambda_1e-2_No_scheduler,0.0001,0.01,None,N/A,0.7188808874664137,0.04894581137895254,3,0.4740402746067564,0.059155291146321086,3
lstm_lr_1e-4_lambda_1e-3_No_scheduler,0.0001,0.001,None,N/A,0.7306069339375262,0.020082054067652427,3,0.48316758622256745,0.051348221365979316,3
lstm_lr_1e-4_lambda_1e-4_No_scheduler,0.0001,0.0001,None,N/A,0.7299604104702788,0.030177546550954608,3,0.5159364638031135,0.047746835083155165,3
