group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.6960938398027214,0.02633416625344949,3,"[0.72993447993448, 0.6926398026315791, 0.6657072368421052]",0.7005513066376814,0.05742645887818613,3,"[0.6966185410334347, 0.7727679370191447, 0.632267441860465]"
lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.6884391680855496,0.023618598778732066,3,"[0.7147829647829648, 0.6930509868421052, 0.6574835526315789]",0.668587340977918,0.06658628536637863,3,"[0.6650835866261398, 0.7518339595634282, 0.588844476744186]"
lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.6974964460573014,0.019315808378918407,3,"[0.7065929565929566, 0.7152549342105263, 0.670641447368421]",0.6672746243525829,0.0765664100839535,3,"[0.6586246200607904, 0.7650742529969583, 0.578125]"
lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.6219917772138167,0.020130237220175214,3,"[0.5947993447993447, 0.6282894736842105, 0.6428865131578947]",0.652164033210941,0.027150528999429425,3,"[0.6382978723404255, 0.6901055645016998, 0.6280886627906976]"
lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7061381058091585,0.040141591467617345,3,"[0.7516380016380017, 0.7127878289473685, 0.6539884868421052]",0.6863785064562532,0.06419758642493369,3,"[0.6673632218844985, 0.7727679370191447, 0.6190043604651163]"
lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7241555064334669,0.03279917532755115,3,"[0.7561425061425062, 0.7372532894736842, 0.6790707236842106]",0.6739375913730452,0.0567026612561349,3,"[0.6381079027355623, 0.7539810341742709, 0.6297238372093024]"
lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7278547611606823,0.038460523635787,3,"[0.7571662571662571, 0.7528782894736843, 0.6735197368421053]",0.6495569014516355,0.10319552780350373,3,"[0.575417933130699, 0.7954911433172304, 0.5777616279069768]"
lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.7225354653397417,0.01107697465746854,3,"[0.7381244881244882, 0.716077302631579, 0.7134046052631579]",0.679149235857138,0.02736833340656322,3,"[0.6916793313069909, 0.7045983181248882, 0.641170058139535]"
lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7270138709283446,0.040269622019905284,3,"[0.7706797706797706, 0.736842105263158, 0.6735197368421054]",0.6894536178783914,0.0537192354919915,3,"[0.6221504559270516, 0.7536231884057971, 0.6925872093023255]"
lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7132706308281965,0.0368355753615355,3,"[0.7477477477477478, 0.7298519736842105, 0.6622121710526315]",0.7218808651169976,0.06179203026278498,3,"[0.7399316109422492, 0.7869028448738595, 0.6388081395348837]"
lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7334158508089429,0.02657718844084275,3,"[0.7497952497952498, 0.7545230263157895, 0.6959292763157895]",0.7295738174339202,0.05681592605318645,3,"[0.7019376899696048, 0.8087314367507604, 0.6780523255813955]"
lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.6775312244062244,0.020373338971297374,3,"[0.6732186732186733, 0.655016447368421, 0.704358552631579]",0.6843604630755671,0.0366446208548787,3,"[0.7009878419452887, 0.7185543030953659, 0.6335392441860465]"
