group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.7077808782167335,0.0457342093033732,3,"[0.7530712530712531, 0.7251233552631579, 0.6451480263157895]",0.4704834598652248,0.04785195863672976,3,"[0.5121580547112462, 0.4034711039541957, 0.4958212209302325]"
lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.7099016817355633,0.035177057609108865,3,"[0.7557330057330057, 0.7037417763157894, 0.6702302631578947]",0.47205672149877786,0.07739140988921793,3,"[0.4878419452887538, 0.3703703703703704, 0.5579578488372093]"
lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.6826433004475767,0.051931193870241386,3,"[0.7434479934479934, 0.6879111842105263, 0.6165707236842105]",0.4841399610594838,0.07913790066085775,3,"[0.5851063829787234, 0.39184111647879766, 0.47547238372093026]"
lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.5651559154848629,0.004524422651195502,3,"[0.5622440622440623, 0.5616776315789473, 0.571546052631579]",0.5718980974676119,0.040669950877467026,3,"[0.5814969604863222, 0.6162104133118627, 0.5179869186046512]"
lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7157810097777203,0.04296530744991932,3,"[0.7661752661752661, 0.719983552631579, 0.6611842105263157]",0.5105688859646711,0.07864315767025971,3,"[0.5909954407294833, 0.40382894972266953, 0.5368822674418605]"
lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7099716156048393,0.04717755308262334,3,"[0.7547092547092549, 0.73046875, 0.644736842105263]",0.48101556255572736,0.06189471480842442,3,"[0.5474924012158056, 0.3984612631955627, 0.4970930232558139]"
lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.7037549660904924,0.04496729750461152,3,"[0.7403767403767405, 0.73046875, 0.6404194078947367]",0.5551635583924557,0.0644406373259617,3,"[0.6090425531914895, 0.591876901055645, 0.46457122093023256]"
lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.6545978544333808,0.0198163286161707,3,"[0.6554054054054054, 0.678453947368421, 0.6299342105263158]",0.5706119060144198,0.06809167362928106,3,"[0.6126519756838906, 0.6246197888709966, 0.4745639534883721]"
lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.726711404137391,0.056273345431868474,3,"[0.7913595413595413, 0.7345805921052633, 0.6541940789473684]",0.5728881386917969,0.06348389227975498,3,"[0.6538753799392099, 0.4988370012524602, 0.5659520348837208]"
lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7140045435686885,0.048652921926706116,3,"[0.7622850122850124, 0.7323190789473685, 0.6474095394736843]",0.5977207495587984,0.05981503039102379,3,"[0.6667933130699089, 0.605475040257649, 0.5208938953488372]"
lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.6796029170617987,0.03600924174627639,3,"[0.7117117117117118, 0.6977796052631579, 0.6293174342105263]",0.5934603552486654,0.05919289584304675,3,"[0.5729483282674772, 0.6740025049203793, 0.5334302325581395]"
lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.6209413660071554,0.012628927036857699,3,"[0.6111793611793612, 0.6128700657894737, 0.6387746710526314]",0.5986808345073185,0.08480524793055277,3,"[0.6407674772036474, 0.6748971193415638, 0.4803779069767442]"
