group,lr,lambda_reg,scheduler,eta_min,avg_val_seen,std_val_seen,n_seeds_seen,avg_val_unseen,std_val_unseen,n_seeds_unseen
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3,0.01,0.01,CosineAnnealingLR,0.001,0.6702250995014153,0.04484548684152056,3,0.6714580149835764,0.03635934695110636,3
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3,0.01,0.001,CosineAnnealingLR,0.001,0.7011311550785235,0.04019515309095745,3,0.6771720010188416,0.03302651389248768,3
lstm_lr_1e-2_lambda_1e-4__scheduler_CosineAnnealingLR_1e-3,0.01,0.0001,CosineAnnealingLR,0.001,0.6638312579924422,0.018867721090280506,3,0.6914758200496762,0.02933041308947768,3
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4,0.001,0.01,CosineAnnealingLR,0.0001,0.7281561615443195,0.05622096249358772,3,0.655272854455304,0.04589607475724091,3
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4,0.001,0.001,CosineAnnealingLR,0.0001,0.7258522166005719,0.038548813346483565,3,0.652093618469194,0.08727283885382019,3
lstm_lr_1e-3_lambda_1e-4__scheduler_CosineAnnealingLR_1e-4,0.001,0.0001,CosineAnnealingLR,0.0001,0.7042015662492637,0.04445893959034739,3,0.6503452900934761,0.07982944816343067,3
lstm_lr_1e-4_lambda_1e-2__scheduler_CosineAnnealingLR_1e-5,0.0001,0.01,CosineAnnealingLR,1e-05,0.7134579817556791,0.047361544024458795,3,0.6313578771158656,0.03284771508175011,3
lstm_lr_1e-4_lambda_1e-3__scheduler_CosineAnnealingLR_1e-5,0.0001,0.001,CosineAnnealingLR,1e-05,0.7160000722911907,0.04125232280060017,3,0.6339801500624683,0.031784977362297184,3
lstm_lr_1e-4_lambda_1e-4__scheduler_CosineAnnealingLR_1e-5,0.0001,0.0001,CosineAnnealingLR,1e-05,0.7090894161206661,0.03665204561542037,3,0.6330199402537279,0.035158536967991795,3
lstm_lr_1e-2_lambda_1e-2_No_scheduler,0.01,0.01,None,N/A,0.6502562296147821,0.04060047127469617,3,0.6681593041357944,0.0365323207889043,3
lstm_lr_1e-2_lambda_1e-3_No_scheduler,0.01,0.001,None,N/A,0.6466912299560326,0.048933000853656226,3,0.6703953660097547,0.02615214442576439,3
lstm_lr_1e-2_lambda_1e-4_No_scheduler,0.01,0.0001,None,N/A,0.6896705879024959,0.011058289205269125,3,0.6777170565234996,0.04476495237134377,3
lstm_lr_1e-3_lambda_1e-2_No_scheduler,0.001,0.01,None,N/A,0.7076547615198931,0.049049091776814206,3,0.6385554646728608,0.0796743646132744,3
lstm_lr_1e-3_lambda_1e-3_No_scheduler,0.001,0.001,None,N/A,0.7123381979467505,0.047617125891062,3,0.6483188063792739,0.07530029829066498,3
lstm_lr_1e-3_lambda_1e-4_No_scheduler,0.001,0.0001,None,N/A,0.7088310649165912,0.060998888408172774,3,0.6493243062275281,0.05659597879768963,3
lstm_lr_1e-4_lambda_1e-2_No_scheduler,0.0001,0.01,None,N/A,0.7188808874664137,0.04894581137895254,3,0.6460149886835312,0.05499996907862523,3
lstm_lr_1e-4_lambda_1e-3_No_scheduler,0.0001,0.001,None,N/A,0.7306069339375262,0.020082054067652427,3,0.6387238638594993,0.03609966347671181,3
lstm_lr_1e-4_lambda_1e-4_No_scheduler,0.0001,0.0001,None,N/A,0.7299604104702788,0.030177546550954608,3,0.650343804055945,0.03531311385111849,3
